date,open_btc,high_btc,low_btc,close_btc,volume_btc,%var_btc,open_sp,high_sp,low_sp,close_sp,volume_sp,%var_sp,close_gd,open_gd,high_gd,low_gd,volume_gd,%var_gd
2010-10-14,0.10430046,0.11209966,0.09689222,0.10067396,37309,-3.48,1177.82,1178.89,1166.71,1173.81,4969410000,-0.34,1.3776,1.3726,1.3881,1.3711,18498000,0.52
2010-10-15,0.10072117,0.11902729,0.09605389,0.10635973,24754,5.6,1177.47,1181.2,1167.12,1176.19,5724910000,-0.11,1.372,1.3817,1.3864,1.3627,19683000,-0.41
2010-10-18,0.1054724,0.10588933,0.08339101,0.10141351,25647,-3.85,1176.83,1185.53,1174.55,1184.71,4450050000,0.67,1.3721,1.371,1.3756,1.3532,13415000,0.01
2010-10-19,0.1014436,0.11309019,0.09133758,0.09894639,6231,-2.46,1178.64,1178.64,1159.71,1165.9,5600120000,-1.08,1.336,1.3706,1.3717,1.3284,25250000,-2.63
2010-10-20,0.09889042,0.10552782,0.08289413,0.0993313,31793,0.45,1166.74,1182.94,1166.74,1178.17,5027880000,0.98,1.3442,1.3344,1.3481,1.3311,16277000,0.61
2010-10-21,0.0993304,0.12183959,0.09075821,0.10191849,44828,2.61,1179.82,1189.43,1171.17,1180.26,4625470000,0.04,1.3256,1.3452,1.3496,1.3182,20917000,-1.38
2010-10-22,0.10189671,0.11341726,0.08636984,0.1096797,34549,7.64,1180.52,1183.93,1178.99,1183.08,3177890000,0.22,1.3251,1.3258,1.3288,1.3156,14723000,-0.04
2010-10-25,0.12713443,0.17876216,0.1200947,0.15322619,30310,20.52,1184.74,1196.14,1184.74,1185.62,4221380000,0.07,1.3389,1.3293,1.3495,1.3293,14922000,1.04
2010-10-26,0.15366604,0.18565019,0.14038524,0.15450002,19246,0.54,1184.88,1187.11,1177.72,1185.64,4203680000,0.06,1.3386,1.3403,1.3438,1.3281,15654000,-0.02
2010-10-27,0.15463818,0.23199151,0.15463818,0.18923766,65607,22.37,1183.84,1183.84,1171.7,1182.45,4335670000,-0.12,1.3226,1.3404,1.3437,1.3186,16001000,-1.2
2010-10-28,0.18929337,0.2277513,0.17228013,0.17411618,21586,-8.02,1184.47,1189.53,1177.1,1183.78,4283460000,-0.06,1.3425,1.3253,1.3462,1.3229,14866000,1.5
2010-10-29,0.1744869,0.2258875,0.16833141,0.19,28684,8.89,1183.87,1185.46,1179.7,1183.26,3537880000,-0.05,1.3576,1.3445,1.3598,1.3352,16782000,1.12
2010-11-01,0.19181494,0.21375067,0.18221525,0.19629574,21229,2.34,1185.71,1195.81,1177.65,1184.38,4129180000,-0.11,1.3506,1.3597,1.3664,1.3491,12669000,-0.52
2010-11-02,0.19649184,0.24233992,0.18412287,0.19387783,5852,-1.33,1187.86,1195.88,1187.86,1193.57,3866200000,0.48,1.3569,1.3516,1.3599,1.3502,11611000,0.47
2010-11-03,0.1944637,0.23949948,0.18713929,0.1973499,61555,1.48,1193.79,1198.3,1183.56,1197.96,4665480000,0.35,1.3376,1.3573,1.3648,1.3255,25803000,-1.42
2010-11-04,0.19737072,0.2488942,0.19016785,0.2413261,29652,22.27,1198.34,1221.25,1198.34,1221.06,5695470000,1.9,1.3831,1.349,1.3934,1.3467,24140000,3.4
2010-11-05,0.24133692,0.27421316,0.22636467,0.24709663,36664,2.39,1221.2,1227.08,1220.29,1225.85,5637460000,0.38,1.3977,1.3925,1.3987,1.3719,24140000,1.06
2010-11-08,0.34056142,0.45705471,0.34056142,0.43979451,118305,29.14,1223.24,1224.57,1217.55,1223.25,3937230000,0.0,1.4032,1.397,1.4104,1.3866,17690000,0.39
2010-11-09,0.43840529,0.43840529,0.20724415,0.22388061,47863,-48.93,1223.59,1226.84,1208.94,1213.4,4848040000,-0.83,1.4101,1.41,1.4243,1.3822,31022000,0.49
2010-11-10,0.22432389,0.33407991,0.22432389,0.31419876,30260,40.06,1213.14,1218.75,1204.33,1218.71,4561300000,0.46,1.3993,1.3929,1.41,1.3834,28125000,-0.77
2010-11-11,0.31358503,0.32081129,0.21115833,0.23296009,5021,-25.71,1213.04,1215.45,1204.49,1213.54,3931120000,0.04,1.4033,1.403,1.4176,1.3965,17847000,0.29
2010-11-12,0.23283656,0.27296145,0.20652011,0.2584812,40766,11.01,1209.07,1210.5,1194.08,1199.21,4213620000,-0.82,1.3655,1.4083,1.41,1.3593,30169000,-2.69
2010-11-15,0.2952383,0.31939278,0.26919435,0.288151,8519,-2.4,1200.44,1207.43,1197.15,1197.75,3503370000,-0.22,1.3685,1.371,1.3766,1.3548,19964000,0.22
2010-11-16,0.28712962,0.29203293,0.18819772,0.22813504,34055,-20.55,1194.79,1194.79,1173.0,1178.34,5116380000,-1.38,1.3384,1.3598,1.3643,1.329,29697000,-2.2
2010-11-17,0.22833879,0.27773592,0.21683855,0.2707324,32920,18.57,1178.33,1183.56,1175.82,1178.59,3904780000,0.02,1.3369,1.341,1.3446,1.3301,17418000,-0.11
2010-11-18,0.27075377,0.30435713,0.25226486,0.27879447,37408,2.97,1183.75,1200.29,1183.75,1196.69,4687260000,1.09,1.353,1.336,1.359,1.334,19760000,1.2
2010-11-19,0.27888182,0.32309334,0.26455084,0.28651184,2151,2.74,1196.12,1199.97,1189.44,1199.73,3675390000,0.3,1.3523,1.3538,1.3629,1.341,16601000,-0.05
2010-11-22,0.28250962,0.29338786,0.23449763,0.28794545,28316,1.92,1198.07,1198.94,1184.58,1197.84,3689500000,-0.02,1.3578,1.357,1.3674,1.3479,18213000,0.41
2010-11-23,0.28757612,0.28802633,0.22782684,0.28037997,4859,-2.5,1192.51,1192.51,1176.91,1180.73,4133070000,-0.99,1.3776,1.3658,1.3829,1.3556,24952000,1.46
2010-11-24,0.28040667,0.32260864,0.2676336,0.28682259,2526,2.29,1183.7,1198.62,1183.7,1198.35,3384250000,1.24,1.373,1.3771,1.381,1.3687,18989000,-0.33
2010-11-29,0.27014513,0.29143084,0.24607482,0.25864209,35050,-4.26,1189.08,1190.34,1173.64,1187.76,3673450000,-0.11,1.3675,1.365,1.3707,1.3545,18484000,0.37
2010-11-30,0.25858757,0.26871577,0.20499215,0.21567219,21429,-16.6,1182.96,1187.4,1174.14,1180.55,4284700000,-0.2,1.3861,1.3685,1.3911,1.364,16968000,1.36
2010-12-01,0.21575395,0.2860531,0.21575395,0.24826949,8138,15.07,1186.6,1207.61,1186.6,1206.07,4548110000,1.64,1.3883,1.3877,1.3983,1.383,16376000,0.16
2010-12-02,0.24818038,0.27274432,0.21980882,0.24036115,20401,-3.15,1206.81,1221.89,1206.81,1221.53,4970800000,1.22,1.3893,1.3876,1.3997,1.3838,13439000,0.07
2010-12-03,0.24043004,0.26714353,0.22672282,0.25027239,2566,4.09,1219.93,1225.57,1216.82,1224.71,3735780000,0.39,1.4062,1.3871,1.417,1.3853,15964000,1.22
2010-12-06,0.21094287,0.24353259,0.19851918,0.22720412,4305,7.71,1223.87,1225.8,1220.67,1223.12,3527370000,-0.06,1.4161,1.4151,1.4294,1.4098,14412000,0.7
2010-12-07,0.22759612,0.25188085,0.21532013,0.23106174,24663,1.52,1227.25,1235.05,1223.25,1223.75,6970630000,-0.29,1.409,1.426,1.4325,1.3967,20664000,-0.5
2010-12-08,0.23111195,0.27749873,0.22390633,0.23698327,3430,2.54,1225.02,1228.93,1219.5,1228.28,4607590000,0.27,1.3832,1.4013,1.4054,1.3721,21890000,-1.83
2010-12-09,0.23673102,0.2443908,0.20244156,0.21323766,21346,-9.92,1230.14,1234.71,1226.85,1233.0,4522510000,0.23,1.3928,1.383,1.3956,1.3811,12599000,0.69
2010-12-10,0.21324634,0.23294422,0.19819272,0.2126707,1680,-0.27,1233.85,1240.4,1232.58,1240.4,4547310000,0.53,1.3849,1.3883,1.393,1.3727,13323000,-0.57
2010-12-13,0.22405832,0.28538253,0.22209471,0.22991209,6409,2.61,1242.52,1246.73,1240.34,1240.46,4361240000,-0.17,1.398,1.385,1.4002,1.3808,11238000,0.95
2010-12-14,0.2299656,0.27753358,0.21564682,0.2408912,10447,4.75,1241.84,1246.59,1238.17,1241.59,4132350000,-0.02,1.4043,1.3952,1.4089,1.3924,13495000,0.45
2010-12-15,0.24088325,0.24278875,0.19470885,0.2370506,3679,-1.59,1241.58,1244.25,1234.01,1235.23,4407340000,-0.51,1.3862,1.3967,1.398,1.3782,15137000,-1.29
2010-12-16,0.23706696,0.31157078,0.23706696,0.25,14336,5.46,1236.34,1243.75,1232.85,1242.87,4736820000,0.53,1.371,1.3789,1.3873,1.3616,17953000,-1.1
2010-12-17,0.24995453,0.26329725,0.22573095,0.24553209,528,-1.77,1243.63,1245.81,1239.87,1243.91,4632470000,0.02,1.3792,1.3704,1.3798,1.3654,10481000,0.6
2010-12-20,0.24440116,0.28560785,0.22881201,0.26522225,10689,8.52,1245.76,1250.2,1241.51,1247.08,3548140000,0.11,1.3861,1.3789,1.3889,1.3766,9616000,0.5
2010-12-21,0.26518131,0.30390187,0.24115804,0.26736488,9250,0.82,1249.43,1255.82,1249.43,1254.6,3479670000,0.41,1.3888,1.3861,1.393,1.3814,8343000,0.19
2010-12-22,0.267489,0.303911,0.25228194,0.26837131,3771,0.33,1254.94,1259.39,1254.94,1258.84,1285590000,0.31,1.3874,1.3863,1.3917,1.3835,6195000,-0.1
2010-12-23,0.2683622,0.27412425,0.21092628,0.2530123,8641,-5.72,1257.53,1258.59,1254.05,1256.77,2515020000,-0.06,1.3805,1.3861,1.389,1.3726,8103000,-0.5
2010-12-27,0.26037419,0.29789821,0.23250033,0.26933414,4941,3.44,1254.66,1258.43,1251.48,1257.54,1992470000,0.23,1.3829,1.3789,1.387,1.3727,4435000,0.17
2010-12-28,0.27020572,0.34630866,0.27020572,0.27404114,15491,1.42,1259.1,1259.9,1256.22,1258.51,2478450000,-0.05,1.4056,1.3842,1.4075,1.3831,10580000,1.64
2010-12-29,0.27425745,0.36445525,0.27425745,0.29506361,18545,7.59,1258.78,1262.6,1258.78,1259.78,2214380000,0.08,1.4135,1.4069,1.4149,1.4015,7510000,0.56
